Interface                  IP-Address      OK? Method Status                Protocol
FastEthernet0/0            192.168.25.1    YES manual up                    up      
Serial0/0                  10.0.0.1        YES manual up                    up      
FastEthernet0/1            unassigned      YES unset  administratively down down    
Serial0/1                  unassigned      YES unset  administratively down down    
Serial0/2                  unassigned      YES unset  administratively down down    
FastEthernet1/0            unassigned      YES unset  administratively down down    
FastEthernet2/0            unassigned      YES unset  up                    down    
FastEthernet2/1            unassigned      YES unset  up                    down    
FastEthernet2/2            unassigned      YES unset  up                    down    
FastEthernet2/3            unassigned      YES unset  up                    down    
FastEthernet2/4            unassigned      YES unset  up                    down    
FastEthernet2/5            unassigned      YES unset  up                    down    
FastEthernet2/6            unassigned      YES unset  up                    down    
FastEthernet2/7            unassigned      YES unset  up                    down    
FastEthernet2/8            unassigned      YES unset  up                    down    
FastEthernet2/9            unassigned      YES unset  up                    down    
FastEthernet2/10           unassigned      YES unset  up                    down    
FastEthernet2/11           unassigned      YES unset  up                    down    
FastEthernet2/12           unassigned      YES unset  up                    down    
FastEthernet2/13           unassigned      YES unset  up                    down    
FastEthernet2/14           unassigned      YES unset  up                    down    
FastEthernet2/15           unassigned      YES unset  up                    down    
Vlan1                      unassigned      YES unset  up                    down
